dataset,sta,freq_hz,snr
main,A03F,12.2360,6172.551
main,A03F,12.5949,5991.661
main,A03F,12.9642,5598.603
main,A03F,13.3444,5218.627
main,A03F,13.7357,4895.051
main,A03F,14.1385,4543.623
main,A03F,14.5531,4218.587
main,A03F,14.9798,3845.820
main,A03F,15.4191,3547.622
main,A03F,15.8713,3207.631
main,A03F,16.3367,2927.373
main,A03F,16.8157,2615.533
main,A03F,17.3089,2460.510
main,A03F,17.8164,2331.584
main,A03F,18.3389,2140.471
main,A03F,18.8767,1964.325
main,A03F,19.4302,1781.412
main,A03F,20.0000,1566.769
main,A04F,0.0200,12.594
main,A04F,0.0206,12.594
main,A04F,0.0212,12.594
main,A04F,0.0327,37.389
main,A04F,0.0336,37.389
main,A04F,0.0346,37.389
main,A04F,0.0357,37.389
main,A04F,0.0367,37.389
main,A04F,0.0389,52.409
main,A04F,0.0400,52.409
main,A04F,0.0412,52.409
main,A04F,0.0424,52.409
main,A04F,0.0490,51.143
main,A04F,0.0504,57.786
main,A04F,0.0519,57.786
main,A04F,0.0534,57.786
main,A04F,0.0550,57.786
main,A04F,0.0566,57.786
main,A04F,0.0583,52.484
main,A04F,0.0600,52.484
main,A04F,0.0617,52.484
main,A04F,0.0636,47.181
main,A04F,0.0654,97.205
main,A04F,0.0673,123.531
main,A04F,0.0693,123.531
main,A04F,0.0713,123.531
main,A04F,0.0734,123.531
main,A04F,0.0756,149.857
main,A04F,0.0778,157.946
main,A04F,0.0801,157.946
main,A04F,0.0824,136.241
main,A04F,0.0848,136.241
main,A04F,0.0873,166.245
main,A04F,0.0899,184.932
main,A04F,0.0925,184.932
main,A04F,0.0952,188.779
main,A04F,0.0980,225.247
main,A04F,0.1009,255.492
main,A04F,0.1039,255.492
main,A04F,0.1069,379.663
main,A04F,0.1101,379.663
main,A04F,0.1133,225.168
main,A04F,0.1166,252.601
main,A04F,0.1200,252.601
main,A04F,0.1235,283.706
main,A04F,0.1272,297.400
main,A04F,0.1309,182.657
main,A04F,0.1347,162.873
main,A04F,0.1387,174.771
main,A04F,0.1428,153.849
main,A04F,0.1469,193.958
main,A04F,0.1512,181.858
main,A04F,0.1557,181.858
main,A04F,0.1602,181.858
main,A04F,0.1649,212.579
main,A04F,0.1698,212.579
main,A04F,0.1748,443.960
main,A04F,0.1799,434.641
main,A04F,0.1852,434.641
main,A04F,0.1906,517.807
main,A04F,0.1962,472.314
main,A04F,0.2019,565.140
main,A04F,0.2079,565.140
main,A04F,0.2140,571.807
main,A04F,0.2202,689.243
main,A04F,0.2267,678.701
main,A04F,0.2333,678.079
