   1   1.012       134.6       36.82       50.33       93.10       108.7       2.118       9.035       1.261       1.219       6.529      0.2859    
   1  0.6671       5489.       37.47       56.22       88.91       113.3       2.190       9.842       1.281       1.209       6.395      0.1953    
   1   1.009       98.31       33.92       56.61       86.64       110.5       2.731       8.778       1.263       1.226       6.256      0.2929    
   1  0.7319       4355.       32.10       56.83       82.84       105.5       2.403       9.180       1.251       1.258       6.103      0.1993    
   1  0.9600       4552.       38.07       51.30       78.64       109.3       2.323       8.116       1.218       1.259       6.266      0.1333    
   1    Infinity   0.000       32.43       55.60       72.36       110.4       2.362       9.279       1.298       1.203       6.273      0.2454    
   1   1.010       119.1       36.11       54.93       81.37       121.2       2.619       8.882       1.250       1.184       6.300      0.2086    
   1   1.012       423.5       36.57       60.64       75.57       107.2       2.857       8.801       1.280       1.221       6.369      0.2303    
   1  0.3293       5438.       37.49       54.53       89.10       99.95       3.069       9.304       1.271       1.229       6.374      0.2442    
   1  0.9628       5260.       36.01       56.09       74.89       111.3       2.288       9.362       1.268       1.211       6.546      0.1356    
   1    Infinity   0.000       38.08       52.37       79.04       117.3       2.406       9.747       1.273       1.203       6.858      0.2833    
   1   1.014       168.9       34.52       51.62       80.75       105.6       2.187       7.321       1.241       1.184       6.477      0.1998    
   1  0.4060       4422.       38.68       54.24       79.66       105.8       2.968       7.506       1.246       1.237       6.236      0.1855    
   1   1.130       5144.       36.52       51.88       74.71       97.79       2.430       9.236       1.241       1.189       6.307      0.1784    
   1   1.016       168.8       37.74       56.91       90.85       107.0       2.012       8.456       1.292       1.231       6.716      0.2556    
   1  0.6632       5663.       41.16       54.80       80.41       106.5       2.633       8.444       1.300       1.167       6.321      0.1741    
   1  0.3049       4966.       40.67       50.31       83.70       100.1       2.249       8.576       1.262       1.236       6.638      0.2315    
   1   1.014       145.7       41.06       57.12       84.70       108.6       2.498       8.811       1.272       1.188       6.144      0.2414    
   1  0.7568       5187.       33.80       54.68       80.87       98.89       1.925       10.89       1.235       1.220       6.346      0.2591    
   1   1.044       6138.       37.89       54.70       74.97       103.0       3.019       9.885       1.242       1.215       6.770      0.2065    
   1  0.4214       5523.       35.87       53.31       77.81       103.9       1.979       10.76       1.287       1.195       6.074      0.2297    
   1    Infinity   0.000       37.24       54.65       70.48       114.5       2.484       10.69       1.267       1.213       6.665      0.2202    
   1  0.5950       5186.       38.39       54.15       80.43       107.6       1.830       8.926       1.273       1.183       6.651      0.1884    
   1   1.016       169.9       37.23       49.28       75.63       110.6       3.128       8.903       1.275       1.204       6.266      0.2377    
   1   1.013       138.2       36.29       58.09       81.65       108.4       2.338       8.426       1.295       1.172       6.554      0.2437    
